Fecha,Duración media de la sesión,Búsquedas orgánicas,Rebotes,Salidas,Usuarios nuevos,Sesiones,Valor medio de pedido,Tasa de conversión de comercio electrónico,Número de unidades agregadas al carrito,Valor por sesión,Número de veces que el producto que ha retirado del carrito,Transacciones,Porcentaje compra/detalle,Porcentaje carrito/detalle,Ingresos,CTR de la lista de productos,Clics de la lista de productos,Sesiones con búsquedas,Sesiones con evento,Número de pagos de productos,Páginas/sesión,Cantidad,Compras Redsys,Compras Paypal
20170530,0:02:39,464,234,2757,1823,2776,"33,44 ","2,59 ",304,"0,87 ",105,72,"4,58 ","10,09 ","2.407,34 ","4,58 ",3550,7,2514,281,"3,84",149,"0,00 ","0,00 "
20170829,0:02:37,464,146,1596,980,1607,"42,08 ","1,80 ",273,"0,76 ",81,29,"2,65 ","13,88 ","1.220,37 ","2,25 ",1379,5,1436,152,"3,7",52,"316,67 ","150,00 "
20170910,0:02:41,461,153,1634,817,1643,"42,76 ","1,52 ",243,"0,65 ",105,25,"2,37 ","12,54 ","1.069,04 ","2,13 ",1386,10,1480,208,"3,73",46,"120,00 ","130,00 "
20170515,0:02:47,460,165,2084,1251,2105,"33,27 ","2,71 ",318,"0,90 ",123,57,"4,46 ","13,98 ","1.896,37 ","3,73 ",2398,4,1916,260,"3,81",99,"0,00 ","0,00 "
20170606,0:02:50,459,420,2981,1812,3001,"28,74 ","2,10 ",492,"0,60 ",192,63,"3,41 ","16,95 ","1.810,85 ","3,86 ",3262,10,2533,410,"3,79",99,"0,00 ","0,00 "
20170523,0:02:39,456,209,2454,1319,2472,"34,82 ","1,70 ",386,"0,59 ",133,42,"3,36 ","14,81 ","1.462,29 ","3,16 ",2518,11,2240,436,"3,54",83,"0,00 ","0,00 "
20171013,0:02:27,451,229,1927,1117,1941,"36,19 ","1,44 ",212,"0,52 ",49,28,"2,28 ","9,66 ","1.013,39 ","2,73 ",1833,8,1688,165,"3,7",49,"200,00 ","162,50 "
20171021,0:02:27,450,177,1242,645,1254,"37,42 ","1,12 ",150,"0,42 ",59,14,"1,69 ","10,43 ","523,85 ","2,24 ",1000,6,1054,122,"3,48",25,"112,50 ","62,50 "
20171112,0:02:00,449,339,2255,1110,2267,"34,58 ","1,63 ",284,"0,56 ",114,37,"2,68 ","11,80 ","1.279,48 ","2,39 ",1635,8,1899,236,"3,06",65,"288,89 ","144,44 "
20170427,0:02:32,448,205,1640,1038,1661,"31,77 ","1,08 ",159,"0,34 ",42,18,"1,65 ","9,62 ","571,92 ","2,76 ",1484,5,1430,126,"3,51",26,"120,00 ","240,00 "
20161027,0:02:36,447,290,4027,3104,4059,"39,18 ","1,28 ",589,"0,50 ",167,52,"2,77 ","14,23 ","2.037,48 ","2,80 ",3277,15,3702,246,"3,75",115,"160,00 ","46,67 "
20171014,0:02:34,447,206,1588,894,1600,"42,77 ","0,81 ",183,"0,35 ",88,13,"1,14 ","10,24 ","555,95 ","2,46 ",1450,3,1373,140,"3,88",21,"333,33 ","100,00 "
20171129,0:01:52,447,274,1909,982,1925,"32,63 ","3,01 ",122,"0,98 ",53,58,"5,32 ","6,34 ","1.892,58 ","2,32 ",951,8,1597,130,"2,92",102,"225,00 ","25,00 "
20170605,0:02:44,446,316,2721,1596,2740,"29,98 ","1,75 ",430,"0,53 ",135,48,"2,83 ","15,75 ","1.438,94 ","3,80 ",2879,20,2371,303,"3,71",78,"0,00 ","0,00 "
20171011,0:02:23,443,228,1966,1032,1992,"39,73 ","1,66 ",227,"0,66 ",77,33,"2,75 ","10,23 ","1.311,03 ","2,59 ",1703,8,1734,172,"3,57",60,"188,89 ","66,67 "
20170608,0:02:57,441,184,1887,1148,1904,"31,65 ","1,63 ",277,"0,52 ",123,31,"2,92 ","12,97 ","981,03 ","3,74 ",2266,9,1677,227,"4,21",65,"0,00 ","0,00 "
20171130,0:01:53,440,238,1550,814,1565,"37,49 ","2,81 ",104,"1,05 ",46,44,"6,51 ","7,22 ","1.649,62 ","2,31 ",796,5,1294,66,"2,83",98,"160,00 ","40,00 "
20170613,0:02:25,438,191,2080,1296,2097,"30,40 ","1,38 ",269,"0,42 ",81,29,"2,66 ","13,97 ","881,49 ","3,40 ",2007,12,1884,270,"3,59",51,"0,00 ","0,00 "
20170929,0:02:25,438,206,1942,1132,1967,"51,64 ","1,17 ",271,"0,60 ",116,23,"2,83 ","12,23 ","1.187,75 ","2,72 ",1851,9,1737,271,"3,85",64,"116,67 ","83,33 "
