,DMS,Visitas,Rebotes,Salidas,Usuarios nuevos,Sesiones,VMP,CR,UNC,VS,NVPRC,TR,PCOD,PCRD,Ingresos,CTRLP,CLP,SB,SE,NPP,Cantidad,CRED,CPAY
147,115,383,225,1146,514,1152,0.3054,0.0165,111,0.005,54,19,0.022799999999999997,0.1012,5.8,0.023799999999999998,644,2,903,122,26,6.0,1.33
148,161,382,102,1099,654,1111,0.3981,0.0225,113,0.009000000000000001,48,25,0.0408,0.09609999999999999,9.95,0.0217,886,8,999,97,50,1.12,0.5
149,154,381,135,1540,989,1550,0.3614,0.0116,190,0.0042,70,18,0.0212,0.12990000000000002,6.5,0.0302,1421,3,1398,143,31,3.0,2.66
150,164,379,145,1575,967,1585,0.3709,0.0177,191,0.0066,50,28,0.023799999999999998,0.1107,0.01038,0.029300000000000003,1319,7,1412,151,44,2.12,1.25
151,113,379,209,1250,642,1262,0.4083,0.0143,104,0.0058,36,18,0.025699999999999997,0.0787,7.35,0.0212,578,8,1019,98,30,1.2,0.1
152,159,378,167,1950,1215,1956,0.5251,0.0148,250,0.0078000000000000005,80,29,0.0311,0.1093,0.015220000000000001,0.030299999999999997,1720,9,1770,258,71,1.5,1.16
153,169,376,215,2459,1403,2480,0.33049999999999996,0.0177,359,0.0059,92,44,0.0271,0.113,0.014539999999999999,0.029900000000000003,2104,13,2218,214,77,2.15,1.15
154,132,376,125,1300,740,1308,0.36619999999999997,0.010700000000000001,176,0.0039000000000000003,66,14,0.0176,0.1183,5.12,0.0227,1082,8,1173,96,24,1.11,0.44
155,145,375,138,1279,721,1290,0.39649999999999996,0.0287,151,0.011399999999999999,51,37,0.0492,0.11449999999999999,0.01467,0.0242,1005,5,1133,208,66,3.0,0.6
156,138,374,124,1202,771,1217,0.3614,0.0222,112,0.008,48,27,0.0436,0.09759999999999999,9.75,0.0273,1015,1,1075,95,50,0.011000000000000001,3.0
157,117,373,250,1199,610,1213,0.2821,0.0115,99,0.0033,45,14,0.016200000000000003,0.0848,3.94,0.022000000000000002,710,7,935,71,19,0.85,1.28
158,117,372,196,1295,684,1303,0.32299999999999995,0.02,158,0.0064,59,26,0.0268,0.1266,8.39,0.0239,856,3,1091,130,33,4.4,1.0
